,作战名称,活动名称,作战开放时间,作战理智消耗,样本数,源岩掉落数,源岩单件期望理智,代糖掉落数,代糖单件期望理智,酯原料掉落数,酯原料单件期望理智,异铁碎片掉落数,异铁碎片单件期望理智,双酮掉落数,双酮单件期望理智,破损装置掉落数,破损装置单件期望理智
104,OD-1,源石尘行动・复刻,2024-03-21 16:00:00+08:00,12,21949,18201,14.471073017966045,12148,21.681593677971684,12231,21.534461613931814,9791,26.90103155959555,9752,27.00861361771944,7341,35.87903555373927
105,OD-2,源石尘行动・复刻,2024-03-21 16:00:00+08:00,12,12065,9989,14.493943337671439,6695,21.625093353248694,6717,21.554265297007593,5302,27.30667672576386,5367,26.975964225824484,4028,35.943396226415096
106,BB-1,巴别塔,2024-04-11 16:00:00+08:00,9,91026,56768,14.43126409244645,37871,21.63222518549814,37809,21.667698167103072,30354,26.989325953745798,30101,27.21617222019202,22508,36.39745868135774
107,BB-2,巴别塔,2024-04-11 16:00:00+08:00,9,46962,29492,14.331276278312762,19602,21.56198347107438,19528,21.643691110200738,15482,27.299961245317142,15659,26.991378759818634,11723,36.053740510108334
108,CW-1,孤星・复刻,2024-05-24 16:00:00+08:00,9,10495,6556,14.407413056741916,4026,23.461251862891206,3907,24.175838239058102,3182,29.684160905091137,350,269.87142857142857,2629,35.92810954735641
109,CW-2,孤星・复刻,2024-05-24 16:00:00+08:00,9,8790,5421,14.593248478140564,3338,23.699820251647694,3145,25.154213036565977,2658,29.76297968397291,359,220.36211699164346,2158,36.65894346617238
110,CW-3,孤星・复刻,2024-05-24 16:00:00+08:00,9,14182,8935,14.285170677112479,5732,22.26762037683182,5734,22.259853505406348,4693,27.197528233539312,1,127638.0,3551,35.94424105885666
111,BP-1,生路,2024-06-05 16:00:00+08:00,9,80965,50492,14.431692149251367,33845,21.530063524892896,33745,21.593865757890057,27092,26.896685368374428,26790,27.199888017917132,20162,36.14150381906557
112,BP-2,生路,2024-06-05 16:00:00+08:00,9,28233,17567,14.464450389935674,11827,21.48448465375835,11837,21.466334375264,9316,27.275332760841565,9402,27.02584556477345,7089,35.84384257300042
113,HE-1,空想花庭・复刻,2024-06-25 16:00:00+08:00,9,46052,28890,14.346417445482865,19363,21.405154159995867,19144,21.65002089427497,15444,26.836829836829835,15294,27.10003923107101,11546,35.89710722328079
114,HE-2,空想花庭・复刻,2024-06-25 16:00:00+08:00,9,27039,16847,14.444767614412061,11243,21.644667793293603,11213,21.702577365557836,9096,26.75362796833773,8977,27.10827670714047,6657,36.55565570076611
115,HE-3,空想花庭・复刻,2024-06-25 16:00:00+08:00,9,43270,26937,14.457066488473103,17874,21.78751258811682,18117,21.495280675608544,14381,27.079479869271957,14248,27.332257158899495,10741,36.25640070756913
116,KR-1,熔炉“还魂”记,2024-07-09 16:00:00+08:00,9,26662,16692,14.375629043853342,11038,21.739264359485414,11173,21.476595363823503,8870,27.052762119503946,8730,27.486597938144328,6571,36.517729417135904
117,KR-2,熔炉“还魂”记,2024-07-09 16:00:00+08:00,9,13633,8506,14.42475899365154,5580,21.988709677419354,5641,21.750930686048573,4556,26.930860403863036,4610,26.61540130151844,3471,35.34917891097666
118,KR-3,熔炉“还魂”记,2024-07-09 16:00:00+08:00,12,10330,8581,14.445868779862487,5710,21.709281961471103,5727,21.644840230487166,4566,27.1484888304862,4550,27.243956043956043,3395,36.512518409425624
119,KR-4,熔炉“还魂”记,2024-07-09 16:00:00+08:00,12,13846,11536,14.402912621359222,7762,21.40582324143262,7629,21.779001179709006,6136,27.078226857887874,6117,27.16233447768514,4482,37.07095046854083
120,AS-1,太阳甩在身后,2024-08-01 16:00:00+08:00,9,97218,60599,14.43855509166818,40622,21.53911673477426,40288,21.717682684670372,32374,27.02668808302959,32166,27.201454952434247,24114,36.28439910425479
121,AS-2,太阳甩在身后,2024-08-01 16:00:00+08:00,9,24729,15447,14.408040396193435,10213,21.791931851561735,10227,21.76210032267527,8184,27.194648093841643,8147,27.318153921688964,6148,36.200553025374106
122,AS-3,太阳甩在身后,2024-08-01 16:00:00+08:00,9,31422,19464,14.52928483353884,12863,21.985384435979164,13241,21.357752435616646,10397,27.199961527363662,10381,27.241884211540313,7806,36.228285933897006
123,SL-1,火山旅梦・复刻,2024-08-22 16:00:00+08:00,9,3205,2048,14.08447265625,1328,21.720632530120483,1313,21.96877380045697,1098,26.270491803278688,1073,26.882572227399812,808,35.69925742574257
124,SL-2,火山旅梦・复刻,2024-08-22 16:00:00+08:00,9,2705,1682,14.47384066587396,1125,21.64,1109,21.952209197475202,897,27.140468227424748,884,27.539592760180994,701,34.72895863052782
125,SL-3,火山旅梦・复刻,2024-08-22 16:00:00+08:00,9,7489,4651,14.49172221027736,3072,21.9404296875,3080,21.883441558441557,2451,27.499388004895962,2456,27.44340390879479,1954,34.493858751279426
126,DT-1,泰拉饭,2024-09-02 16:00:00+08:00,9,58823,36579,14.47297629787583,24169,21.90438164591005,24336,21.754068047337277,19496,27.154647107098892,19467,27.195099398982894,14599,36.263237208027945
127,DT-2,泰拉饭,2024-09-02 16:00:00+08:00,9,25809,16118,14.411279315051495,10796,21.51546869210819,10676,21.75730610715624,8632,26.909291010194625,8544,27.18644662921348,6392,36.33933041301627
128,CV-1,不义之财・复刻,2024-09-19 16:00:00+08:00,9,7017,4411,14.317161641351168,2942,21.466009517335145,2897,21.79944770452192,2388,26.445979899497488,2333,27.06943849121303,1802,35.04605993340733
129,CV-2,不义之财・复刻,2024-09-19 16:00:00+08:00,9,4171,2645,14.192438563327032,1771,21.19649915302089,1773,21.17258883248731,1408,26.66122159090909,1327,28.28862094951017,1060,35.41415094339623
130,CV-3,不义之财・复刻,2024-09-19 16:00:00+08:00,9,4334,2744,14.215014577259476,1781,21.901179112857946,1801,21.657967795669073,1447,26.95646164478231,1445,26.993771626297576,1081,36.08325624421832
131,GO-1,追迹日落以西,2024-10-09 16:00:00+08:00,9,4354,2726,14.374908290535583,1870,20.955080213903745,1816,21.57819383259912,1426,27.479663394109398,1432,27.364525139664803,1119,35.01876675603217
132,GO-2,追迹日落以西,2024-10-09 16:00:00+08:00,9,968,596,14.61744966442953,386,22.569948186528496,414,21.043478260869566,320,27.225,308,28.285714285714285,208,41.88461538461539
