,作战名称,活动名称,作战开放时间,作战理智消耗,作战掉落物品名称,掉落数,样本数,作战掉落物品数量,单位理智掉落物品数量,单件期望理智
72,DV-6,绿野幻梦,2022-07-05 16:00:00+08:00,21,聚酸酯组,210053,216490,0.9702665250127027,0.04620316785774775,21.643537583371813
73,DV-7,绿野幻梦,2022-07-05 16:00:00+08:00,21,扭转醇,364290,395999,0.919926565471125,0.04380602692719643,22.827909083422547
74,DV-8,绿野幻梦,2022-07-05 16:00:00+08:00,21,炽合金,584809,702487,0.8324837327950553,0.03964208251405025,25.225718140452695
75,IC-7,理想城：长夏狂欢季,2022-08-11 16:00:00+08:00,21,酮凝集组,731012,942905,0.7752764064248254,0.036917924115467876,27.087113481037246
76,IC-8,理想城：长夏狂欢季,2022-08-11 16:00:00+08:00,21,凝胶,265540,380237,0.6983539213700929,0.03325494863667109,30.070712510356255
77,IC-9,理想城：长夏狂欢季,2022-08-11 16:00:00+08:00,21,RMA70-12,951728,1642921,0.5792901788947855,0.027585246614037405,36.251261915169046
78,NL-8,长夜临光・复刻,2022-09-22 16:00:00+08:00,18,糖组,374072,449537,0.8321272776211969,0.04622929320117761,21.631306272589235
79,NL-9,长夜临光・复刻,2022-09-22 16:00:00+08:00,18,晶体元件,106156,141871,0.7482572195868077,0.04156984553260043,24.055898865820115
80,NL-10,长夜临光・复刻,2022-09-22 16:00:00+08:00,18,扭转醇,450390,571018,0.7887492163119201,0.04381940090621778,22.820941850396324
81,IS-8,叙拉古人,2022-11-01 16:00:00+08:00,21,固源岩组,4465516,4081599,1.094060440528332,0.05209811621563486,19.194551984585882
82,IS-9,叙拉古人,2022-11-01 16:00:00+08:00,21,化合切削液,325934,465733,0.6998301601990841,0.033325245723765905,30.007280615093855
83,IS-10,叙拉古人,2022-11-01 16:00:00+08:00,21,炽合金,715335,859664,0.8321099871577733,0.03962428510275111,25.23704837593575
84,BI-6,风雪过境・复刻,2022-12-01 16:00:00+08:00,15,炽合金,27419,46165,0.5939347990902198,0.03959565327268132,25.255297421496042
85,BI-7,风雪过境・复刻,2022-12-01 16:00:00+08:00,18,聚酸酯组,86863,104598,0.8304460888353505,0.04613589382418614,21.675097567433777
