作战名称,活动名称,作战开放时间,作战理智消耗,作战掉落物品名称,掉落数,样本数,作战掉落物品数量,单位理智掉落物品数量
NL-9,长夜临光,2021-11-01 16:00:00+08:00,18,晶体元件,10845,14569,0.7443887706774659,0.04135493170430366
NL-10,长夜临光,2021-11-01 16:00:00+08:00,18,扭转醇,24614,31473,0.7820671686842691,0.04344817603801495
MB-6,孤岛风云?复刻,2021-12-07 16:00:00+08:00,15,糖组,2269,3311,0.6852914527333132,0.045686096848887546
MB-7,孤岛风云?复刻,2021-12-07 16:00:00+08:00,18,酮凝集组,9650,14489,0.6660224998274553,0.03700124999041418
MB-8,孤岛风云?复刻,2021-12-07 16:00:00+08:00,18,异铁组,18765,28641,0.6551796375824867,0.03639886875458259
BI-6,风雪过境,2021-12-21 16:00:00+08:00,15,炽合金,12787,22017,0.5807784893491393,0.03871856595660929
BI-7,风雪过境,2021-12-21 16:00:00+08:00,18,聚酸酯组,5091,6057,0.8405151064883606,0.04669528369379781
BI-8,风雪过境,2021-12-21 16:00:00+08:00,18,研磨石,36646,64657,0.566775445814065,0.03148752476744806
WR-8,画中人?复刻,2022-01-10 16:00:00+08:00,15,炽合金,19288,32914,0.5860120313544388,0.039067468756962584
WR-9,画中人?复刻,2022-01-10 16:00:00+08:00,18,聚酸酯组,2915,3520,0.828125,0.04600694444444445
WR-10,画中人?复刻,2022-01-10 16:00:00+08:00,18,固源岩组,19802,21146,0.9364418802610422,0.052024548903391234
IW-6,将进酒,2022-01-25 16:00:00+08:00,18,全新装置,62273,125383,0.49666222693666606,0.027592345940925894
IW-7,将进酒,2022-01-25 16:00:00+08:00,21,固源岩组,31016,28216,1.0992344768925433,0.05234449889964492
IW-8,将进酒,2022-01-25 16:00:00+08:00,21,RMA70-12,34302,59181,0.5796116997009175,0.02760055712861512
GA-6,吾导先路,2022-03-15 16:00:00+08:00,18,糖组,30079,36028,0.8348784278894194,0.04638213488274552
GA-7,吾导先路,2022-03-15 16:00:00+08:00,21,扭转醇,48388,52561,0.9206065333612374,0.04383840635053512
GA-8,吾导先路,2022-03-15 16:00:00+08:00,21,凝胶,96904,138864,0.6978338518262472,0.03323018342029749
WD-6,遗尘漫步?复刻,2022-03-29 16:00:00+08:00,15,聚酸酯组,8494,12217,0.6952607023000736,0.04635071348667157
WD-7,遗尘漫步?复刻,2022-03-29 16:00:00+08:00,18,酮凝集组,40931,61195,0.6688618351172482,0.03715899083984712
WD-8,遗尘漫步?复刻,2022-03-29 16:00:00+08:00,18,RMA70-12,23995,48105,0.4988046980563351,0.027711372114240837
SN-8,愚人号,2022-05-01 16:00:00+08:00,21,异铁组,249007,320632,0.7766130641982085,0.03698157448562898
SN-9,愚人号,2022-05-01 16:00:00+08:00,21,轻锰矿,293869,377968,0.777497036786183,0.037023668418389666
SN-10,愚人号,2022-05-01 16:00:00+08:00,21,化合切削液,105855,151203,0.7000853157675443,0.03333739598893068
SV-7,覆潮之下?复刻,2022-05-30 16:00:00+08:00,15,固源岩组,114679,146895,0.7806868851901018,0.052045792346006786
SV-8,覆潮之下?复刻,2022-05-30 16:00:00+08:00,18,晶体元件,15630,20849,0.7496762434649143,0.04164868019249524
SV-9,覆潮之下?复刻,2022-05-30 16:00:00+08:00,18,全新装置,247699,496180,0.49921197952356,0.02773399886242
