,作战名称,活动名称,作战开放时间,作战理智消耗,样本数,主掉落物品名称,主掉落数,单次作战主掉落数量,单位理智主掉落数量,主掉落单件期望理智,副掉落物品名称,副掉落数,单次作战副掉落数量,单位理智副掉落数量,副掉落单件期望理智
110,IS-7,叙拉古人・复刻,2023-10-22 16:00:00+08:00,15,78345,装置,65185,0.8320250175505776,0.05546833450337184,18.028304057681982,酮凝集,43294,0.5526070585231987,0.03684047056821325,27.144061532775904
111,ZT-4,崔林特尔梅之金,2023-11-01 16:00:00+08:00,15,976226,固源岩,2034148,2.083685540028641,0.13891236933524273,7.198782979409561,异铁,541783,0.5549770237629401,0.03699846825086268,27.02814595511487
112,ZT-5,崔林特尔梅之金,2023-11-01 16:00:00+08:00,15,30574,酮凝集,34079,1.1146398901027017,0.07430932600684678,13.457261069867073,聚酸酯,21048,0.6884280761431282,0.04589520507620855,21.788768529076396
113,ZT-6,崔林特尔梅之金,2023-11-01 16:00:00+08:00,15,164272,装置,135906,0.8273229765267361,0.055154865101782406,18.13076685356055,糖,112266,0.6834153111911951,0.04556102074607968,21.948586393030833
114,RS-4,银心湖列车,2023-12-05 16:00:00+08:00,12,57939,聚酸酯,64380,1.111168642883032,0.09259738690691934,10.799440820130476,装置,19161,0.33070988453373373,0.02755915704447781,36.28558008454674
115,RS-5,银心湖列车,2023-12-05 16:00:00+08:00,12,3665472,固源岩,6109303,1.666716592024165,0.13889304933534707,7.199784328916081,酮凝集,1626486,0.44373166675396786,0.03697763889616399,27.04337080060941
116,FC-3,照我以火・复刻,2023-12-22 16:00:00+08:00,12,15530,聚酸酯,17160,1.1049581455247908,0.09207984546039923,10.86013986013986,糖,8631,0.5557630392788152,0.04631358660656793,21.59193604449079
117,FC-4,照我以火・复刻,2023-12-22 16:00:00+08:00,12,20624,酮凝集,18238,0.8843095422808379,0.07369246185673649,13.569908981247943,异铁,9168,0.44453064391000774,0.03704422032583398,26.994764397905758
118,WB-4,登临意・复刻,2024-01-18 16:00:00+08:00,12,26448,异铁,23502,0.8886116152450091,0.07405096793708409,13.504212407454686,糖,14751,0.5577359346642469,0.0464779945553539,21.51555826723612
119,WB-5,登临意・复刻,2024-01-18 16:00:00+08:00,12,72253,酮凝集,64079,0.886869749352968,0.07390581244608067,13.5307354983692,装置,21448,0.2968458057104895,0.024737150475874128,40.42502797463633
120,WB-6,登临意・复刻,2024-01-18 16:00:00+08:00,12,751454,装置,504166,0.670920641849002,0.05591005348741684,17.885870923465685,糖,418037,0.5563041782996697,0.046358681524972474,21.570932716482034
121,HS-4,怀黍离,2024-02-01 16:00:00+08:00,12,39437,异铁,35047,0.8886832162689859,0.07405693468908216,13.503124375838162,酮凝集,17395,0.441083246697264,0.036756937224772,27.205748778384592
122,HS-5,怀黍离,2024-02-01 16:00:00+08:00,12,2313108,糖,2570158,1.1111275392242819,0.09259396160202349,10.79984032110088,固源岩,1926733,0.8329628361494578,0.06941356967912148,14.406405038996063
123,HS-6,怀黍离,2024-02-01 16:00:00+08:00,12,91958,聚酸酯,102216,1.1115509254224756,0.0926292437852063,10.795726696407606,装置,30523,0.33192326931860194,0.027660272443216827,36.152933853159915
124,CR-3,水晶箭行动,2024-03-07 16:00:00+08:00,12,681000,酮凝集,604868,0.8882055800293686,0.07401713166911404,13.510385737053374,固源岩,566805,0.8323127753303965,0.06935939794419971,14.417656866117976
125,CR-4,水晶箭行动,2024-03-07 16:00:00+08:00,12,23572,聚酸酯,26271,1.114500254539284,0.092875021211607,10.7671577024095,糖,13147,0.5577379942304429,0.046478166185870244,21.51547881646003
126,CR-5,水晶箭行动,2024-03-07 16:00:00+08:00,12,560076,装置,376251,0.6717856148094187,0.055982134567451554,17.862841560553996,异铁,248729,0.4440986580392661,0.037008221503272175,27.021022880323564
127,OD-4,源石尘行动・复刻,2024-03-21 16:00:00+08:00,12,91702,酮凝集,81444,0.8881376633006913,0.07401147194172428,13.511418889052601,固源岩,76296,0.8319993020871955,0.06933327517393297,14.423089021704937
128,OD-5,源石尘行动・复刻,2024-03-21 16:00:00+08:00,12,16593,聚酸酯,18461,1.1125775929608872,0.09271479941340727,10.78576458480039,糖,9224,0.5558970650274212,0.046324755418951764,21.586730268863835
129,OD-6,源石尘行动・复刻,2024-03-21 16:00:00+08:00,12,1747257,装置,1171703,0.6705956822608237,0.0558829735217353,17.89453812100848,固源岩,1455169,0.8328305452489244,0.06940254543741037,14.408693423238127
130,BB-3,巴别塔,2024-04-11 16:00:00+08:00,12,32273,异铁,28624,0.8869333498590153,0.07391111248825127,13.529765231973169,酮凝集,14273,0.44225823443745543,0.03685485286978795,27.13346878722063
