,作战名称,活动名称,作战开放时间,作战理智消耗,作战掉落物品名称,掉落数,样本数,作战掉落物品数量,单位理智掉落物品数量,单件期望理智,理论掉落数
8,RI-6,密林悍将归来,2020-08-25 16:00:00+08:00,15,固源岩组,5103,6586,0.7748253871849378,0.05165502581232918,19.35920047031158,5146.151455800788
21,WR-10,画中人,2021-02-05 16:00:00+08:00,18,固源岩组,11996,12881,0.931294154180576,0.05173856412114311,19.327942647549186,12077.90651117582
30,SV-7,覆潮之下,2021-05-01 16:00:00+08:00,15,固源岩组,5446,6980,0.7802292263610315,0.0520152817574021,19.22511935365406,5454.0141453825545
53,WR-10,画中人・复刻,2022-01-10 16:00:00+08:00,18,固源岩组,19802,21146,0.9364418802610422,0.052024548903391234,19.221694778305224,19827.60741288129
149,HE-6,空想花庭・复刻,2024-06-25 16:00:00+08:00,21,固源岩组,1740949,1591847,1.093666036999787,0.052079335095227955,19.20147402365032,1741366.5440399277
120,IS-8,叙拉古人・复刻,2023-10-22 16:00:00+08:00,21,固源岩组,5411533,4948023,1.093675797384127,0.05207979987543462,19.201302662295507,5412782.579820847
132,HS-7,怀黍离,2024-02-01 16:00:00+08:00,21,固源岩组,5385338,4923757,1.0937456905367182,0.05208312812079611,19.20007564984779,5386237.314756005
164,GO-7,追迹日落以西,2024-10-09 16:00:00+08:00,21,固源岩组,687087,628061,1.0939813171013644,0.0520943484333983,19.19594025210781,687053.7262791344
78,IS-8,叙拉古人,2022-11-01 16:00:00+08:00,21,固源岩组,4465516,4081599,1.094060440528332,0.05209811621563486,19.194551984585882,4464976.812964327
102,HE-6,空想花庭,2023-06-08 16:00:00+08:00,21,固源岩组,4888777,4468116,1.0941472871339957,0.05210225176828551,19.19302844044635,4887798.712620941
140,BB-6,巴别塔,2024-04-11 16:00:00+08:00,21,固源岩组,2499103,2283903,1.0942246671596823,0.05210593653141344,19.191671171616377,2498426.2143487553
88,IW-7,将进酒・复刻,2023-01-01 16:00:00+08:00,21,固源岩组,750116,685428,1.0943760686753385,0.05211314612739707,19.189016098843382,749809.1132804847
55,IW-7,将进酒,2022-01-25 16:00:00+08:00,21,固源岩组,31016,28216,1.0992344768925433,0.05234449889964492,19.104204281661076,30866.282002372467
36,RI-6,密林悍将归来・复刻,2021-07-20 16:00:00+08:00,15,固源岩组,7450,9482,0.7856992195739295,0.0523799479715953,19.091275167785238,7409.020361965241
42,NL-8,长夜临光,2021-11-01 16:00:00+08:00,18,糖组,6424,7844,0.818969913309536,0.04549832851719644,21.97882938978829,6533.499130142203
45,MB-6,孤岛风云・复刻,2021-12-07 16:00:00+08:00,15,糖组,2269,3311,0.6852914527333132,0.045686096848887546,21.888497135301897,2298.1913585650213
37,RI-7,密林悍将归来・复刻,2021-07-20 16:00:00+08:00,18,糖组,5400,6541,0.8255618406971411,0.045864546705396726,21.803333333333335,5448.191969691503
9,RI-7,密林悍将归来,2020-08-25 16:00:00+08:00,18,糖组,2412,2908,0.8294360385144429,0.04607977991746905,21.70149253731343,2422.1590349889757
75,NL-8,长夜临光・复刻,2022-09-22 16:00:00+08:00,18,糖组,374072,449537,0.8321272776211969,0.04622929320117761,21.631306272589235,374432.6362145252
2,DM-6,生于黑夜,2020-04-21 16:00:00+08:00,15,糖组,7947,11459,0.6935160136137534,0.04623440090758356,21.62891657229143,7953.782777951247
84,FC-5,照我以火,2022-12-15 16:00:00+08:00,21,糖组,517862,533053,0.9715018956839189,0.04626199503256757,21.6160154635791,517994.8407007021
105,LE-5,尘影余音・复刻,2023-06-20 16:00:00+08:00,18,糖组,859425,1032060,0.8327277483867217,0.046262652688151204,21.615708176978796,859633.2371563695
93,GA-6,吾导先路・复刻,2023-02-21 16:00:00+08:00,18,糖组,648278,778372,0.8328639776353723,0.046270220979742906,21.612172555601145,648329.013886671
117,CV-6,不义之财,2023-09-05 16:00:00+08:00,21,糖组,2076512,2137030,0.9716812585691357,0.04627053612233979,21.61202535790788,2076661.259617001
147,BP-6,生路,2024-06-05 16:00:00+08:00,21,糖组,5771626,5939091,0.9718029240501619,0.04627632971667438,21.6093196267395,5771318.229992089
66,LE-5,尘影余音,2022-06-09 16:00:00+08:00,18,糖组,88277,105968,0.8330533746036539,0.046280743033536326,21.607258968927354,88263.87504116636
126,FC-5,照我以火・复刻,2023-12-22 16:00:00+08:00,21,糖组,1577424,1622856,0.9720049098626126,0.046285948088695836,21.604829139153455,1577012.107989597
161,CV-6,不义之财・复刻,2024-09-19 16:00:00+08:00,21,糖组,455239,468250,0.972213561131874,0.04629588386342257,21.600192426395804,455022.4539738145
57,GA-6,吾导先路,2022-03-15 16:00:00+08:00,18,糖组,30079,36028,0.8348784278894194,0.04638213488274552,21.56002526679743,30008.784632937695
16,MB-6,孤岛风云,2020-12-17 16:00:00+08:00,15,糖组,5253,7494,0.7009607686148919,0.04673071790765946,21.399200456881783,5201.644832705005
24,DM-6,生于黑夜・复刻,2021-03-30 16:00:00+08:00,15,糖组,3570,5093,0.7009621048497938,0.04673080698998625,21.399159663865547,3535.091691081744
27,WD-6,遗尘漫步,2021-04-15 16:00:00+08:00,15,聚酸酯组,3921,5723,0.6851301764808667,0.045675345098724444,21.89364957918898,3972.490933031127
40,MN-7,玛莉娅・临光・复刻,2021-10-01 16:00:00+08:00,18,聚酸酯组,2405,2916,0.8247599451303155,0.04581999695168419,21.824532224532227,2428.890489754066
20,WR-9,画中人,2021-02-05 16:00:00+08:00,18,聚酸酯组,5383,6513,0.8265008444649163,0.045916713581384244,21.77856214007059,5425.021865489792
52,WR-9,画中人・复刻,2022-01-10 16:00:00+08:00,18,聚酸酯组,2915,3520,0.828125,0.04600694444444445,21.735849056603772,2931.994006836184
82,BI-7,风雪过境・复刻,2022-12-01 16:00:00+08:00,18,聚酸酯组,86863,104598,0.8304460888353505,0.04613589382418614,21.675097567433777,87125.20145654863
69,DV-6,绿野幻梦,2022-07-05 16:00:00+08:00,21,聚酸酯组,210053,216490,0.9702665250127027,0.04620316785774775,21.643537583371813,210380.2877736628
135,CR-6,水晶箭行动,2024-03-07 16:00:00+08:00,21,聚酸酯组,690623,710872,0.9715152657581112,0.0462626317027672,21.615717982169723,690809.9955205284
158,DT-6,泰拉饭,2024-09-02 16:00:00+08:00,21,聚酸酯组,1871656,1925993,0.9717875402454734,0.046275597154546357,21.609661711340117,1871638.2354384044
123,RS-6,银心湖列车,2023-12-05 16:00:00+08:00,21,聚酸酯组,4078808,4196827,0.9718789933442574,0.04627995206401226,21.60762825805971,4078385.4773720633
108,DV-6,绿野幻梦・复刻,2023-07-18 16:00:00+08:00,21,聚酸酯组,1691424,1740127,0.9720118129308952,0.04628627680623311,21.60467570520461,1691017.6868341288
