,作战名称,活动名称,作战开放时间,作战理智消耗,样本数,主掉落物品名称,主掉落数,单次作战主掉落数量,单位理智主掉落数量,主掉落单件期望理智,副掉落物品名称,副掉落数,单次作战副掉落数量,单位理智副掉落数量,副掉落单件期望理智,理论副掉落数
21,DM-5,生于黑夜・复刻,2021-03-30 16:00:00+08:00,15,51,糖,72,0.27450980392156865,0.018300653594771243,54.64285714285714,装置,14,0.27450980392156865,0.018300653594771243,54.64285714285714,21.12702845167693
39,MB-5,孤岛风云・复刻,2021-12-07 16:00:00+08:00,15,86,酮凝集,99,0.3488372093023256,0.023255813953488372,43.0,装置,30,0.3488372093023256,0.023255813953488372,43.0,35.62596954596502
43,WR-5,画中人・复刻,2022-01-10 16:00:00+08:00,12,151,酮凝集,132,0.2913907284768212,0.024282560706401765,41.18181818181818,装置,44,0.2913907284768212,0.024282560706401765,41.18181818181818,50.04205954828575
116,WB-5,登临意・复刻,2024-01-18 16:00:00+08:00,12,72253,酮凝集,64079,0.2968458057104895,0.024737150475874128,40.42502797463633,装置,21448,0.2968458057104895,0.024737150475874128,40.42502797463633,23944.959791670797
147,CV-5,不义之财・复刻,2024-09-19 16:00:00+08:00,12,11576,异铁,10327,0.29751209398756046,0.02479267449896337,40.33449477351917,装置,3444,0.29751209398756046,0.02479267449896337,40.33449477351917,3836.3369624566612
7,RI-5,密林悍将归来,2020-08-25 16:00:00+08:00,15,140,异铁,153,0.37857142857142856,0.025238095238095237,39.62264150943396,装置,53,0.37857142857142856,0.025238095238095237,39.62264150943396,57.99576437715236
29,TW-5,沃伦姆德的薄暮・复刻,2021-06-17 16:00:00+08:00,15,176,酮凝集,201,0.39204545454545453,0.026136363636363635,38.26086956521739,装置,69,0.39204545454545453,0.026136363636363635,38.26086956521739,72.90896093127726
149,GO-5,追迹日落以西,2024-10-09 16:00:00+08:00,12,3033,异铁,2719,0.32146389713155293,0.026788658094296078,37.32923076923077,装置,975,0.32146389713155293,0.026788658094296078,37.32923076923077,1005.1494477480178
3,DM-5,生于黑夜,2020-04-21 16:00:00+08:00,15,530,糖,712,0.4075471698113208,0.02716981132075472,36.80555555555555,装置,216,0.4075471698113208,0.02716981132075472,36.80555555555555,219.55539371350537
52,SN-4,愚人号,2022-05-01 16:00:00+08:00,12,6069,聚酸酯,6708,0.3288844949744604,0.0274070412478717,36.48697394789579,装置,1996,0.3288844949744604,0.0274070412478717,36.48697394789579,2011.2931085996438
137,HE-5,空想花庭・复刻,2024-06-25 16:00:00+08:00,12,614939,糖,683193,0.32903100957981196,0.027419250798317665,36.47072662034063,装置,202334,0.32903100957981196,0.027419250798317665,36.47072662034063,203793.47057326685
111,RS-4,银心湖列车,2023-12-05 16:00:00+08:00,12,57939,聚酸酯,64380,0.33070988453373373,0.02755915704447781,36.28558008454674,装置,19161,0.33070988453373373,0.02755915704447781,36.28558008454674,19201.237669987604
145,DT-5,泰拉饭,2024-09-02 16:00:00+08:00,12,54237,酮凝集,48328,0.3308258200121688,0.027568818334347402,36.272864069553584,装置,17943,0.3308258200121688,0.027568818334347402,36.272864069553584,17974.378700134926
93,HE-5,空想花庭,2023-06-08 16:00:00+08:00,12,168813,糖,187451,0.331058627001475,0.027588218916789583,36.24735627247839,装置,55887,0.331058627001475,0.027588218916789583,36.24735627247839,55945.365553144125
106,CV-5,不义之财,2023-09-05 16:00:00+08:00,12,92300,异铁,82209,0.33143011917659804,0.027619176598049838,36.20672746886339,装置,30591,0.33143011917659804,0.027619176598049838,36.20672746886339,30588.6231543495
62,IC-4,理想城：长夏狂欢季,2022-08-11 16:00:00+08:00,12,13168,糖,14616,0.3314854191980559,0.027623784933171327,36.20068728522337,装置,4365,0.3314854191980559,0.027623784933171327,36.20068728522337,4363.932716104813
102,IC-4,理想城：长夏狂欢季・复刻,2023-08-31 16:00:00+08:00,12,17646,糖,19662,0.33163323132721295,0.02763610261060108,36.18455228981545,装置,5852,0.33163323132721295,0.02763610261060108,36.18455228981545,5847.961475424175
120,HS-6,怀黍离,2024-02-01 16:00:00+08:00,12,91958,聚酸酯,102216,0.33192326931860194,0.027660272443216827,36.152933853159915,装置,30523,0.33192326931860194,0.027660272443216827,36.152933853159915,30475.28286053815
138,AS-4,太阳甩在身后,2024-08-01 16:00:00+08:00,12,79921,聚酸酯,88747,0.33219053815642946,0.02768254484636912,36.123846472560174,装置,26549,0.33219053815642946,0.02768254484636912,36.123846472560174,26486.168484493683
80,WB-5,登临意,2023-01-17 16:00:00+08:00,12,42229,酮凝集,37424,0.33228350185891214,0.02769029182157601,36.11374002280502,装置,14032,0.33228350185891214,0.02769029182157601,36.11374002280502,13994.875050758668
84,SN-4,愚人号・复刻,2023-04-20 16:00:00+08:00,12,69734,聚酸酯,77316,0.33263544325580063,0.02771962027131672,36.075530263838594,装置,23196,0.33263544325580063,0.02771962027131672,36.075530263838594,23110.152189007673
129,BB-5,巴别塔,2024-04-11 16:00:00+08:00,12,89343,聚酸酯,99206,0.3328744277671446,0.02773953564726205,36.049630127774044,装置,29740,0.3328744277671446,0.02773953564726205,36.049630127774044,29608.660438559564
88,CW-4,孤星,2023-05-01 16:00:00+08:00,12,162256,聚酸酯,180215,0.3333251158662854,0.027777092988857114,36.00088750832039,装置,54084,0.3333251158662854,0.027777092988857114,36.00088750832039,53772.347113024196
60,DV-5,绿野幻梦,2022-07-05 16:00:00+08:00,15,16769,酮凝集,18643,0.4177947402945912,0.02785298268630608,35.90279760205538,装置,7006,0.4177947402945912,0.02785298268630608,35.90279760205538,6946.649806003343
130,CW-4,孤星・复刻,2024-05-24 16:00:00+08:00,12,42767,聚酸酯,47465,0.3354221713003016,0.027951847608358466,35.77581038689439,装置,14345,0.3354221713003016,0.027951847608358466,35.77581038689439,14173.170600672429
5,TW-5,沃伦姆德的薄暮,2020-07-09 16:00:00+08:00,15,236,酮凝集,260,0.423728813559322,0.02824858757062147,35.4,装置,100,0.423728813559322,0.02824858757062147,35.4,97.76428852148541
15,WR-5,画中人,2021-02-05 16:00:00+08:00,12,174,酮凝集,163,0.3390804597701149,0.02825670498084291,35.389830508474574,装置,59,0.3390804597701149,0.02825670498084291,35.389830508474574,57.664360009282916
91,CW-7,孤星,2023-05-01 16:00:00+08:00,15,219354,异铁,243727,0.42443721108345417,0.028295814072230276,35.34091641425533,装置,93102,0.42443721108345417,0.028295814072230276,35.34091641425533,90868.592137042
98,DV-5,绿野幻梦・复刻,2023-07-18 16:00:00+08:00,15,48812,酮凝集,54236,0.42518233221339014,0.028345488814226008,35.278982364845334,装置,20754,0.42518233221339014,0.028345488814226008,35.278982364845334,20220.63750555401
133,CW-7,孤星・复刻,2024-05-24 16:00:00+08:00,15,75678,异铁,84064,0.4256322841512725,0.028375485610084836,35.241687622240846,装置,32211,0.4256322841512725,0.028375485610084836,35.241687622240846,31350.024689529542
31,RI-5,密林悍将归来・复刻,2021-07-20 16:00:00+08:00,15,474,异铁,523,0.43037974683544306,0.02869198312236287,34.85294117647059,装置,204,0.43037974683544306,0.02869198312236287,34.85294117647059,196.3570879626444
13,MB-5,孤岛风云,2020-12-17 16:00:00+08:00,15,160,酮凝集,173,0.4375,0.029166666666666667,34.285714285714285,装置,70,0.4375,0.029166666666666667,34.285714285714285,66.28087357388841
10,MN-4,玛莉娅・临光,2020-10-15 16:00:00+08:00,12,94,糖,102,0.3829787234042553,0.031914893617021274,31.333333333333336,装置,36,0.3829787234042553,0.031914893617021274,31.333333333333336,31.152010579727552
