,作战名称,活动名称,作战开放时间,作战理智消耗,样本数,主掉落物品名称,主掉落数,单次作战主掉落数量,单位理智主掉落数量,主掉落单件期望理智,副掉落物品名称,副掉落数,单次作战副掉落数量,单位理智副掉落数量,副掉落单件期望理智,理论副掉落数
54,SN-6,愚人号,2022-05-01 16:00:00+08:00,15,16815,糖,23462,1.0421647338685698,0.06947764892457133,14.39311800958685,固源岩,17524,1.0421647338685698,0.06947764892457133,14.39311800958685,17507.33514903345
40,BI-4,风雪过境,2021-12-21 16:00:00+08:00,12,1622,酮凝集,1408,0.8347718865598027,0.06956432387998356,14.375184638109307,固源岩,1354,0.8347718865598027,0.06956432387998356,14.375184638109307,1351.026945547773
38,MB-4,孤岛风云・复刻,2021-12-07 16:00:00+08:00,12,161,聚酸酯,174,0.8385093167701864,0.06987577639751553,14.31111111111111,固源岩,135,0.8385093167701864,0.06987577639751553,14.31111111111111,134.10316783797253
14,WR-4,画中人,2021-02-05 16:00:00+08:00,12,379,聚酸酯,426,0.8390501319261213,0.06992084432717678,14.30188679245283,固源岩,318,0.8390501319261213,0.06992084432717678,14.30188679245283,315.6838547241714
42,WR-4,画中人・复刻,2022-01-10 16:00:00+08:00,12,231,聚酸酯,262,0.8484848484848485,0.0707070707070707,14.142857142857144,固源岩,196,0.8484848484848485,0.0707070707070707,14.142857142857144,192.40889298491714
50,WD-4,遗尘漫步・复刻,2022-03-29 16:00:00+08:00,12,3067,异铁,2781,0.8549070753179002,0.07124225627649168,14.036613272311214,固源岩,2622,0.8549070753179002,0.07124225627649168,14.036613272311214,2554.6237003668434
11,MN-5,玛莉娅・临光,2020-10-15 16:00:00+08:00,15,266,异铁,295,1.0714285714285714,0.07142857142857142,14.0,固源岩,285,1.0714285714285714,0.07142857142857142,14.0,276.95219444798676
4,TW-4,沃伦姆德的薄暮,2020-07-09 16:00:00+08:00,12,385,聚酸酯,429,0.8571428571428571,0.07142857142857142,14.0,固源岩,330,0.8571428571428571,0.07142857142857142,14.0,320.68148830819524
45,IW-4,将进酒,2022-01-25 16:00:00+08:00,12,4322,酮凝集,3903,0.8597871355853771,0.0716489279654481,13.956942949407965,固源岩,3716,0.8597871355853771,0.0716489279654481,13.956942949407965,3599.9620583584924
34,NL-4,长夜临光,2021-11-01 16:00:00+08:00,12,448,聚酸酯,485,0.8616071428571429,0.07180059523809525,13.927461139896371,固源岩,386,0.8616071428571429,0.07180059523809525,13.927461139896371,373.15664094044536
25,SV-4,覆潮之下,2021-05-01 16:00:00+08:00,12,224,酮凝集,200,0.8660714285714286,0.07217261904761905,13.855670103092782,固源岩,194,0.8660714285714286,0.07217261904761905,13.855670103092782,186.57832047022268
33,MN-5,玛莉娅・临光・复刻,2021-10-01 16:00:00+08:00,15,80,异铁,89,1.0875,0.0725,13.793103448275863,固源岩,87,1.0875,0.0725,13.793103448275863,83.29389306706369
17,OD-4,源石尘行动,2021-03-09 16:00:00+08:00,12,164,酮凝集,143,0.8719512195121951,0.07266260162601626,13.762237762237762,固源岩,143,0.8719512195121951,0.07266260162601626,13.762237762237762,136.60198462998443
27,SV-6,覆潮之下,2021-05-01 16:00:00+08:00,12,644,异铁,587,0.8773291925465838,0.07311076604554866,13.67787610619469,固源岩,565,0.8773291925465838,0.07311076604554866,13.67787610619469,536.4126713518901
41,BI-5,风雪过境,2021-12-21 16:00:00+08:00,12,236,聚酸酯,257,0.5211864406779662,0.04343220338983051,23.024390243902438,糖,123,0.5211864406779662,0.04343220338983051,23.024390243902438,131.28525013113764
44,WR-7,画中人・复刻,2022-01-10 16:00:00+08:00,12,215,异铁,196,0.5395348837209303,0.044961240310077526,22.241379310344826,糖,116,0.5395348837209303,0.044961240310077526,22.241379310344826,119.60308804319743
141,SL-4,火山旅梦・复刻,2024-08-22 16:00:00+08:00,12,2217,聚酸酯,2473,0.5412719891745602,0.04510599909788002,22.17,糖,1200,0.5412719891745602,0.04510599909788002,22.17,1233.302540426831
48,GA-5,吾导先路,2022-03-15 16:00:00+08:00,12,1140,异铁,1004,0.5482456140350878,0.04568713450292398,21.887999999999998,糖,625,0.5482456140350878,0.04568713450292398,21.887999999999998,634.1745133453259
66,NL-5,长夜临光・复刻,2022-09-22 16:00:00+08:00,12,6761,酮凝集,5965,0.5484395799437953,0.04570329832864961,21.880258899676374,糖,3708,0.5484395799437953,0.04570329832864961,21.880258899676374,3761.0998988839897
46,IW-5,将进酒,2022-01-25 16:00:00+08:00,12,841,聚酸酯,899,0.5517241379310345,0.04597701149425287,21.75,糖,464,0.5517241379310345,0.04597701149425287,21.75,467.84277695036764
75,FC-3,照我以火,2022-12-15 16:00:00+08:00,12,14541,聚酸酯,16160,0.5519565366893611,0.04599637805744675,21.740842262646403,糖,8026,0.5519565366893611,0.04599637805744675,21.740842262646403,8089.06280574946
57,LE-4,尘影余音,2022-06-09 16:00:00+08:00,12,2663,异铁,2360,0.552009012392039,0.04600075103266992,21.738775510204082,糖,1470,0.552009012392039,0.04600075103266992,21.738775510204082,1481.4094114373709
83,GA-5,吾导先路・复刻,2023-02-21 16:00:00+08:00,12,17587,异铁,15660,0.5538750213225678,0.04615625177688065,21.665537419156145,糖,9741,0.5538750213225678,0.04615625177688065,21.665537419156145,9783.532601933548
81,WB-6,登临意,2023-01-17 16:00:00+08:00,12,129796,装置,86766,0.5542389595981386,0.04618657996651155,21.651310851010592,糖,71938,0.5542389595981386,0.04618657996651155,21.651310851010592,72204.66239839466
79,WB-4,登临意,2023-01-17 16:00:00+08:00,12,24177,异铁,21527,0.5550316416428838,0.046252636803573645,21.62038900067069,糖,13419,0.5550316416428838,0.046252636803573645,21.62038900067069,13449.50632381574
113,FC-3,照我以火・复刻,2023-12-22 16:00:00+08:00,12,15530,聚酸酯,17160,0.5557630392788152,0.04631358660656793,21.59193604449079,糖,8631,0.5557630392788152,0.04631358660656793,21.59193604449079,8639.237010748167
125,OD-5,源石尘行动・复刻,2024-03-21 16:00:00+08:00,12,16593,聚酸酯,18461,0.5558970650274212,0.046324755418951764,21.586730268863835,糖,9224,0.5558970650274212,0.046324755418951764,21.586730268863835,9230.576929771045
99,SL-4,火山旅梦,2023-08-01 16:00:00+08:00,12,88196,聚酸酯,98116,0.5561249943308086,0.04634374952756739,21.57788289022998,糖,49048,0.5561249943308086,0.04634374952756739,21.57788289022998,49062.85559561786
117,WB-6,登临意・复刻,2024-01-18 16:00:00+08:00,12,751454,装置,504166,0.5563041782996697,0.046358681524972474,21.570932716482034,糖,418037,0.5563041782996697,0.046358681524972474,21.570932716482034,418028.925220525
144,DT-4,泰拉饭,2024-09-02 16:00:00+08:00,12,27057,异铁,24076,0.5567505636249399,0.04639588030207833,21.553637812002126,糖,15064,0.5567505636249399,0.04639588030207833,21.553637812002126,15051.631410161826
109,IS-6,叙拉古人・复刻,2023-10-22 16:00:00+08:00,15,18301,聚酸酯,25331,0.6965739577072291,0.0464382638471486,21.53396611233135,糖,12748,0.6965739577072291,0.0464382638471486,21.53396611233135,12725.907641154396
71,IS-6,叙拉古人,2022-11-01 16:00:00+08:00,15,32034,聚酸酯,44613,0.6966972591621402,0.04644648394414268,21.53015503181289,糖,22318,0.6966972591621402,0.04644648394414268,21.53015503181289,22275.37978125457
115,WB-4,登临意・复刻,2024-01-18 16:00:00+08:00,12,26448,异铁,23502,0.5577359346642469,0.0464779945553539,21.51555826723612,糖,14751,0.5577359346642469,0.0464779945553539,21.51555826723612,14712.84870961156
